Time (CAT);Open;High;Low;Close;Volume 
01/01/2016 00:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 01:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 02:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 03:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 04:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 05:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 06:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 07:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 08:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 09:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 10:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 11:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 12:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 13:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 14:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 15:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 16:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 17:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 18:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 19:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 20:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 21:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 22:00:00;1.08608;1.08608;1.08608;1.08608;0
01/01/2016 23:00:00;1.08608;1.08608;1.08608;1.08608;0
04/01/2016 00:00:00;1.0875;1.0875;1.08668;1.08674;1645.23
04/01/2016 01:00:00;1.08673;1.08675;1.08456;1.0852;4719.06
04/01/2016 02:00:00;1.0852;1.0858;1.08434;1.08457;4561.97
04/01/2016 03:00:00;1.08456;1.08621;1.08274;1.08603;6698.01
04/01/2016 04:00:00;1.08604;1.08759;1.08587;1.08719;6379.89
04/01/2016 05:00:00;1.08719;1.08732;1.08673;1.08714;3722.11
04/01/2016 06:00:00;1.08714;1.08838;1.08698;1.08793;4684.53
04/01/2016 07:00:00;1.08797;1.09049;1.08742;1.08976;6456.34
04/01/2016 08:00:00;1.08975;1.09027;1.08844;1.08892;5652.73
04/01/2016 09:00:00;1.08892;1.09203;1.08821;1.09128;11661.03
04/01/2016 10:00:00;1.09125;1.09466;1.0911;1.09245;15448.52
04/01/2016 11:00:00;1.09245;1.09305;1.09128;1.09299;10749.04
04/01/2016 12:00:00;1.09294;1.09362;1.09055;1.09059;11536.85
04/01/2016 13:00:00;1.0906;1.09174;1.0898;1.09174;9632.04
04/01/2016 14:00:00;1.09171;1.09252;1.08968;1.09069;9711.78
04/01/2016 15:00:00;1.09068;1.09068;1.08461;1.08549;15923.97
04/01/2016 16:00:00;1.0855;1.08631;1.08337;1.08385;15101.04
04/01/2016 17:00:00;1.08385;1.0848;1.08014;1.08016;20532.99
04/01/2016 18:00:00;1.08018;1.08125;1.07813;1.08035;16753.38
04/01/2016 19:00:00;1.08032;1.08234;1.08003;1.08182;9451.55
04/01/2016 20:00:00;1.08184;1.08249;1.08128;1.08223;6261.74
04/01/2016 21:00:00;1.08223;1.08283;1.0816;1.08278;5964.71
04/01/2016 22:00:00;1.08275;1.08374;1.08264;1.08292;7672.12
04/01/2016 23:00:00;1.08292;1.08375;1.0829;1.08326;3694.03
